,pid,model,price,country_code,country,region,income group,scraped_date,model_en,price2,price_local_currency
220,14,24-inch iMac²,"From €1,499",IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,24-inch iMac,"1,499",1499.0
221,15,MacBook Air,"From €1,129",IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,MacBook Air,"1,129",1129.0
222,16,Magic Mouse,€85,IE,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120,Magic Mouse,85,85.0
224,1,iPhone SE,da € 499,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPhone SE,499,499.0
225,2,iPhone 12,da € 719,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPhone 12,719,719.0
227,4,AirPods Pro,€ 279,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,AirPods Pro,279,279.0
228,5,AirPods(seconda generazione),€ 149,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,AirPods(2nd generation),149,149.0
230,7,Apple TV 4K,€ 199,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Apple TV 4K,199,199.0
232,9,Apple Watch SE,da € 309,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Apple Watch SE,309,309.0
233,10,Apple Watch Series 3,da € 229,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Apple Watch Series 3,229,229.0
234,11,Cinturino Sport,€ 49,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,Sport Band,49,49.0
235,12,iPad,da € 389,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPad,389,389.0
236,13,iPad Pro,da € 899,IT,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852,iPad Pro,899,899.0
